 Berryfield Apartments,None,None,Ms. Annette Wooley,Phone: ,(479) 717-2674,None,None,None,berryfield@ferguson-apts.com,Fax:  ,(479) 717-2675,None,None,None,https://www.berryfieldapartments.com/,None,None,"2353 Lowell Rd. Springdale, AR 72764",None,None,Apartments
Rausch Coleman Development Group,None,None,Ms. Sandia Collins,Phone: ,(479) 455-9090,sandia.collins@rauschcoleman.com,Fax:  ,(479) 455-2026,None,None,None,http://www.rauschcoleman.com,None,None,"4058 North College Ave., Ste. 300 Fayetteville, AR 72703",None,None,None,None,None,Real Estate Development
ARH Aviation,None,None,Mr. Camron McAhren,Phone: ,(479) 365-3640,None,None,None,lee@arhaviation.com,Fax:  ,(479) 935-8865,None,None,None,http://flyarh.com/,None,None,"802 Airport Ave. Springdale, AR 72764",None,None,Recreational Activities
Lokomotion Family Fun Park,None,None,Zacc Arnold,Phone: ,(479) 582-5656,zacc.arnold@lokomotion.com,Fax:  ,None,None,None,None,http://www.lokomotion.com,None,None,"4520 North College Ave. Fayetteville, AR 72703-0000",None,None,None,None,None,Recreational Activities
Applebee's Neighborhood Grill & Bar,None,None,Mr. David DeLacruz,Phone: ,(479) 751-9844,a13@jstent.com,Fax:  ,(479) 751-6172,None,None,None,https://restaurants.applebees.com/en-us/ar/springdale/3953-w-sunset-ave-75029?fbclid=IwAR2nUssFc-x8SFpavm_1JwJWbCp_4AjMk7HOa-IGEEx9AyuFAI17meRZfGQ,None,None,"3953 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None,Restaurants & Coffee Shops
Bauhaus Biergarten,None,None,Mr. Daniel Hintz,Phone: ,(479) 770-5599,None,None,None,info@bauhausbiergarten.com,Fax:  ,None,None,None,None,http://www.bauhausbiergarten.com,None,None,"326 Holcomb St. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
Bites and Bowls,None,None,Ms. Laura Carrasco-Quezada,Phone: ,(479) 799-5907,None,None,None,lovebitesandbowls@gmail.com,Fax:  ,None,None,None,None,www.lovebitesandbowls.com,None,None,"1602 East Robinson Ave., Ste. E Springdale, AR 72764",None,None,Restaurants & Coffee Shops
Boss Man Tacos Burritos & More,None,None,Ms. Esmeralda Cuellar,Phone: ,(479) 347-2124,emmanuel6.ef@gmail.com,Fax:  ,None,None,None,None,https://taqueriakingburrito.netwaiter.com/fayetteville/about/,None,None,"4126 Elm Springs Rd. Springdale, AR 72762",None,None,None,None,None,Restaurants & Coffee Shops
Carmelitas Modern Mexican Cuisine,None,None,Mrs. Karla Putts,Phone: ,(479) 334-5370,None,None,None,carmelitacateringco@gmail.com,Fax:  ,None,None,None,None,http://www.carmelitasnwa.com,None,None,"7022 West Sunset Ave., #5 Springdale, AR 72762",None,None,Restaurants & Coffee Shops
Casa Alejo,None,None,Mr. Said Mayorga,Phone: ,(479) 365-7222,None,None,None,casa.alejo.nwa@gmail.com,Fax:  ,None,None,None,None,https://howrestaurant.com/casa-alejo,None,None,"101 West Emma Ave. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
Chick-fil-A,None,None,Mr. Trevor Angel,Phone: ,(479) 317-4320,None,None,None,chickfilaspringdale@gmail.com,Fax:  ,None,None,None,None,https://www.chick-fil-a.com/locations/ar/springdale-at-sunset-ave?utm_source=yext&utm_medium=link,None,None,"5675 West Sunset Springdale, AR 72762",None,None,Restaurants & Coffee Shops
Domino's Pizza Tontitown,None,None,Mr. Art Hurteau,Phone: ,(501) 218-8661,None,None,None,mandgpizza2005@yahoo.com,Fax:  ,None,None,None,None,https://www.dominos.com/en/?utm_campaign=52477573|c|BG&utm_source=Bing&utm_medium=p_search&utm_content=kwd-73667495723188:loc-190|52477573|11786773878,None,None,"992 East Henri De Tonti Blvd., Ste. C Springdale, AR 72762",None,None,Restaurants & Coffee Shops
Eat My Catfish of Fayetteville,None,None,Ms. Madyson Beschy,Phone: ,(479) 326-9090,None,None,None,fayetteville@eatmycatfish.com,Fax:  ,None,None,None,None,http://www.eatmycatfish.com,None,None,"32 West Joyce Blvd. Fayetteville, AR 72703",None,None,Restaurants & Coffee Shops
Eureka Pizza,None,None,Rolf Wilkin,Phone: ,(479) 756-3030,None,None,None,rolf@eurekapizza.com,Fax:  ,None,None,None,None,http://www.eurekapizza.com,None,None,"1503 South Thompson St. Springdale, AR 72762",None,None,Restaurants & Coffee Shops
Guido's Pizza,None,None,Mr. Mark Zulpo,Phone: ,(479) 750-7775,None,Fax:  ,(479) 750-7773,None,None,None,https://www.guidospizzaspringdale.com/,None,None,"4275 South Thompson, Ste. C Springdale, AR 72764",None,None,None,None,None,Restaurants & Coffee Shops
 Hawaiian Bros,None,None,Mr. James Martinez,Phone: ,(479) 396-5900,jmartinez@hawaiianbros.com,Fax:  ,None,None,None,None,http://hawaiianbros.com/locations/,None,None,"4575 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None,Restaurants & Coffee Shops
HomeGrown:  A Daytime Eatery,None,None,Mr. Zach Johnston,Phone: ,(479) 717-9511,zjohnston@homegrownkitchen.com,Fax:  ,None,None,None,None,http://www.homegrownkitchen.com,None,None,"202 East Emma Ave. Suite 111 Springdale, AR 72764",None,None,None,None,None,Restaurants & Coffee Shops
 JJ's Grill,None,None,Ms. Shawna Morgan,Phone: ,(479) 582-2500,shawnam@jjsgrill.com,Fax:  ,None,None,None,None,http://www.jjsgrill.com,None,None,"3615 North Steele Blvd. Fayetteville, AR 72703",None,None,None,None,None,Restaurants & Coffee Shops
 Kraken Killer Seafood,None,None,Ms. Kaying Vang,Phone: ,(479) 231-6354,None,None,None,tmsysavanh@gmail.com,Fax:  ,(479) 463-2465,"2576 West Sunset Ave. Springdale, AR 72764",None,None,None,None,None,Marketplace Grill,None,None,Restaurants & Coffee Shops
Marketplace Grill,None,None,Mr. Dave Godwin,Phone: ,(479) 872-7000,dgodwin@marketplacegrill.com,Fax:  ,(479) 872-7001,None,None,None,http://www.marketplacegrill.com,None,None,"1636 South 48th St. Springdale, AR 72762",None,None,None,None,None,Restaurants & Coffee Shops
McDonald's,None,None,Bill Mathews,Phone: ,(479) 751-9617,None,None,None,bill.mathews@partners.mcd.com,Fax:  ,(479) 751-4089,None,None,None,http://www.mcdonalds.com,None,None,"1468 East Mountain Rd. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
McDonald's - E. Robinson Ave.,None,None,Mr. Bill Mathews,Phone: ,(479) 750-2226,None,Fax:  ,None,"1260 E. Robinson Ave. Springdale, AR 72765",None,None,None,None,None,McDonald's - Elm Springs Road,None,None,Mr. Bill Mathews,Phone: ,(479) 750-9600,Restaurants & Coffee Shops
McDonald's - Elm Springs Road,None,None,Mr. Bill Mathews,Phone: ,(479) 750-9600,None,Fax:  ,None,"4762 Elm Springs Rd. Springdale, AR 72765",None,None,None,None,None,McDonald's - Thompson St.,None,None,Bill Mathews,Phone: ,(479) 751-3510,Restaurants & Coffee Shops
McDonald's - Thompson St.,None,None,Bill Mathews,Phone: ,(479) 751-3510,None,Fax:  ,None,"520 South Thompson St. Springdale, AR 72764",None,None,None,None,None, McDonald's - Tontitown,None,None,Mr. Bill Mathews,Phone: ,(479) 361-9499,Restaurants & Coffee Shops
 McDonald's - Tontitown,None,None,Mr. Bill Mathews,Phone: ,(479) 361-9499,None,Fax:  ,None,"1089 East Henri De Tonti Blvd. Springdale, AR 72762",None,None,None,None,None, McDonald's - West Sunset Ave.,None,None,Mr. Bill Mathews,Phone: ,(479) 751-2401,Restaurants & Coffee Shops
 McDonald's - West Sunset Ave.,None,None,Mr. Bill Mathews,Phone: ,(479) 751-2401,None,Fax:  ,None,"4600 West Sunset Ave. Springdale, AR 72765",None,None,None,None,None,Na'Guara,None,None,Ms. Mariana Aluarez,Phone: ,(479) 249-3665,Restaurants & Coffee Shops
Na'Guara,None,None,Ms. Mariana Aluarez,Phone: ,(479) 249-3665,None,None,None,naguarafoodllc@gmail.com,Fax:  ,None,None,None,None,https://www.facebook.com/naguaralovers/,None,None,"3445 South Old Missouri Rd. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
 NobiliTea,None,None,Mr. Joe Donaldson,Phone: ,(479) 333-2510,None,None,None,arkansas@nobilitea.us,Fax:  ,None,None,None,None,http://www.nobilitea.us,None,None,"1345 East Henry De Tonti Blvd, Ste. 1 Springdale, AR 72762",None,None,Restaurants & Coffee Shops
"The Odd Soul, LLP",None,None,Mr. Jeffro Brown,Phone: ,(479) 927-6399,None,None,None,welovebeer@theoddsoul.com,Fax:  ,None,None,None,None,http://www.theoddsoul.com,None,None,"126 West Emma Ave. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
Panda Restaurant,None,None,Tom Tam,Phone: ,(479) 872-8828,None,Fax:  ,None,None,None,None,https://www.healthyarkansas.com/,None,None,"3050 West Sunset Ave. Springdale, AR 72762-0000",None,None,None,None,None,Restaurants & Coffee Shops
Raising Cane's,None,None,Ms. April Rousey,Phone: ,(479) 443-1774,None,None,None,canes195gm@raisingcanes.com,Fax:  ,None,None,None,None,http://www.raisingcanes.com,None,None,"859 East Millsap Rd. Fayetteville, AR 72703",None,None,Restaurants & Coffee Shops
Red Kite Coffee Company,None,None,Mr. Danny Hamilton,Phone: ,(479) 419-5739,None,None,None,unifiedvisionllc@gmail.com,Fax:  ,None,None,None,None,https://onyxcoffeelab.com/,None,None,"7058 West Sunset Ave., Ste. 1A Springdale, AR 72762",None,None,Restaurants & Coffee Shops
Sassafras Springs Vineyard,None,None,Mr. Gene Long,Phone: ,(479) 530-6267,None,None,None,sassafrassspringsvineyard@gmail.com,Fax:  ,None,None,None,None,https://www.sassafrasspringsvineyard.com/?fbclid=IwAR07Baptt4CxZAzD3ixwu5RcBb6I9OAB8TsTBcyqsLSwBoNX_ycUvuOqYFo,None,None,"6461 East Guy Terry Rd. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
Slim Chickens,None,None,Ms. Sydney Barre,Phone: ,(479) 935-4444,sydney@slimchickens.com,Fax:  ,None,None,None,None,http://www.slimchickens.com,None,None,"5240 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None,Restaurants & Coffee Shops
Smoothie King,None,None,Mr. Thuc Tran,Phone: ,(479) 231-3763,tthuc@msn.com,Fax:  ,None,None,None,None,http://www.smoothieking.com,None,None,"7237 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None,Restaurants & Coffee Shops
Sonic Drive-In East Robinson,None,None,Mr. Mark Moses,Phone: ,(479) 872-1682,cinos87@yahoo.com,Fax:  ,None,None,None,None,order.sonicdrivein.com,None,None,"1328 East Robinson Ave. Springdale, AR 72764",None,None,None,None,None,Restaurants & Coffee Shops
 Sonic Drive-In of Springdale,None,None,Mr. Mark Moses,Phone: ,(479) 236-4305,None,None,None,cinos87@yahoo.com,Fax:  ,None,None,None,None,http://www.sonicdrivein.com,None,None,"6775 NW River Crest Rd. Fayetteville, AR 72701-0000",None,None,Restaurants & Coffee Shops
Sonic Drive-In South Thompson,None,None,Mr. Mark Moses,Phone: ,(479) 756-8050,None,Fax:  ,None,None,None,None,order.sonicdrivein.com,None,None,"1306 South Thompson St. Springdale, AR 72764",None,None,None,None,None,Restaurants & Coffee Shops
Sonic Drive-In West Sunset,None,None,Mr. Mark Moses,Phone: ,(479) 756-9554,None,Fax:  ,None,"4723 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None,Spring Street Grill,None,None,Bill Palkowsky,Phone: ,(479) 751-0323,Restaurants & Coffee Shops
Spring Street Grill,None,None,Bill Palkowsky,Phone: ,(479) 751-0323,rakverb@aol.com,Fax:  ,(479) 751-4095,None,None,None,https://springstreetgrill.org/,None,None,"103 North Spring St. Springdale, AR 72764-0000",None,None,None,None,None,Restaurants & Coffee Shops
Springdale Country Club,None,None,Mr. Casey Wroot,Phone: ,(479) 872-2166,casey@springdalecc.com,Fax:  ,(479) 872-2166,None,None,None,http://www.springdalecc.com,None,None,"608 Lakeview Dr. Springdale, AR 72764-0000",None,None,None,None,None,Restaurants & Coffee Shops
Stone Mill Bread Company,None,None,Mr. Dan Dantzler,Phone: ,(479) 343-8116,None,None,None,stonemillbread@gmail.com,Fax:  ,None,None,None,None,http://www.stonemillbread.net,None,None,"3817 Dakodas Pl. Springdale, AR 72762",None,None,Restaurants & Coffee Shops
Subway Sandwiches and Salads,None,None,Michelle Culpepper,Phone: ,(479) 442-0226,None,None,None,michelle_culpepper@sbcglobal.net,Fax:  ,(479) 927-2450,None,None,None,http://www.subway.com,None,None,"4719 Butterfield Coach Rd. Springdale, AR 72764",None,None,Restaurants & Coffee Shops
 Tacos 4 Life,None,None,Mr. Marcus Stowell,Phone: ,(501) 205-8195,None,None,None,marketing@tacos4life.com,Fax:  ,None,None,None,None,www.tacos4life.com,None,None,"6400 West Sunset Ave. Springdale, AR 72762",None,None,Restaurants & Coffee Shops
US Pizza Co. of Springdale,None,None,Ms. Emma Gauntt,Phone: ,(479) 365-6565,None,None,None,huntermcclellan@gmail.com,Fax:  ,None,None,None,None,www.uspizzaco.net,None,None,"7322 West Sunset Ave., Ste. A Springdale, AR 72764",None,None,Restaurants & Coffee Shops
 Whataburger,None,None,Mr. Calvin Saap,Phone: ,(479) 750-2754,None,None,None,wb1092@wbhq.com,Fax:  ,None,None,None,None,http://www.whataburger.com,None,None,"20484 East 45th St. S Broken Arrow, OK 74014",None,None,Restaurants & Coffee Shops
Wright's Barbecue & Catering,None,None,Mr. Jordan Wright,Phone: ,(479) 313-8618,None,None,None,wrightsbarbecue@gmail.com,Fax:  ,None,None,None,None,http://www.wrightsbbq.com,None,None,"2212 Main Dr. Johnson, AR 72704",None,None,Restaurants & Coffee Shops
Zaxby's,None,None,Mr. Grayson Mcelveen,Phone: ,(479) 750-3740,gmcelveen@zaxtastyfoods.com,Fax:  ,(479) 750-3189,None,None,None,http://www.zaxbys.com,None,None,"400 South Thompson Springdale, AR 72764",None,None,None,None,None,Restaurants & Coffee Shops
"C. Mayo, Inc.",None,None,Ms. Jennifer Smith,Phone: ,(479) 751-4819,jlsmith98@aol.com,Fax:  ,(479) 751-2753,None,None,None,http://www.cmayo.com,None,None,"105 West Robinson Ave. Springdale, AR 72764",None,None,None,None,None,Sheet Metal/Fabrication
Gold Mechanical,None,None,Ms. Carla Ruark,Phone: ,(479) 472-3245,None,None,None,cruark@goldmechanical.com,Fax:  ,None,None,None,None,http://www.goldmechanical.com,None,None,"1107 B Shaver Dr. Springdale, AR 72762",None,None,Sheet Metal/Fabrication
The Steel Yard Inc.,None,None,Mr. Mark Broadway,Phone: ,(479) 318-2261,None,None,None,broadway@tsymail.com,Fax:  ,(870) 236-2829,None,None,None,https://steel-yard.com/,None,None,"1768 East Mountain Rd. Springdale, AR 72764",None,None,Steel/Stainless Steel - Distributors/Fabrication
"Arkansas Self Storage Lowell, LLC",None,None,Ms. Carla Butler,Phone: ,(479) 659-0333,carla@arkansasselfstorage.com,Fax:  ,(479) 659-0334,None,None,None,https://www.arkansasselfstorage.com/,None,None,"510 North Bloomington St. Lowell, AR 72745",None,None,None,None,None,Storage Facilities
 Hogbox,None,None,Ms. Lori Devecsery,Phone: ,(479) 445-6611,lori@hogbox.biz,Fax:  ,None,None,None,None,http://www.hogbox.biz,None,None,"2900 South City Lake Rd. Fayetteville, AR 72701",None,None,None,None,None,Storage Facilities
SAFTSTOR Storage,None,None,Paul Marinoni,Phone: ,(479) 750-9995,None,None,None,saftstorstorage@gmail.com,Fax:  ,(479) 750-9009,None,None,None,http://www.saftstor.net,None,None,"1654 East Robinson Ave. Springdale, AR 72764",None,None,Storage Facilities
Springdale Storage,None,None,Ms. Mary West,Phone: ,(479) 751-6388,None,None,None,springdale@absolutemgmt.com,Fax:  ,None,None,None,None,https://www.absolutemgmt.com/storage-locations/ar/springdale/1507-south-old-missouri-rd/,None,None,"1507 South Old Missouri Rd. Springdale, AR 72764-0000",None,None,Storage Facilities
"Cox Communications, Inc.",None,None,Ms. Kim Thatcher,Phone: ,(877) 404-2568,kim.thatcher@cox.com,Fax:  ,(479) 756-1081,None,None,None,http://www.cox.com,None,None,"4901 South 48th St. Springdale, AR 72762",None,None,None,None,None,Technology Management Solutions Provider
Preferred Office Technologies,None,None,Mr. Alan Dickinson,Phone: ,(479) 521-6209,adickinson@preferred-office.com,Fax:  ,(479) 521-8986,None,None,None,http://www.preferred-office.com,None,None,"4000 Frontage Rd., Ste. 10 Fayetteville, AR 72703",None,None,None,None,None,Technology Management Solutions Provider
"Quadrivium, Inc.",None,None,Clinton Bell,Phone: ,(479) 419-4600,None,None,None,cbell@quadrivium.com,Fax:  ,None,None,None,None,http://www.quadrivium.com,None,None,"5537 Bleaux Ave. Springdale, AR 72762",None,None,Technology Management Solutions Provider
Wachter,None,None,Ms. Franci Heflin,Phone: ,(479) 757-8200,franci.heflin@wachter.com,Fax:  ,None,None,None,None,http://www.wachter.com,None,None,"1419 West Monroe Ave. Lowell, AR 72745",None,None,None,None,None,Technology Management Solutions Provider
Advanced Telecom Group,None,None,Joe Papczynski,Phone: ,(479) 751-3434,joe@myatg.net,Fax:  ,None,None,None,None,http://www.myatg.net,None,None,"2231 Lowell Rd., Ste. E2 Springdale, AR 72764",None,None,None,None,None,Telecommunications
OzarksGO,None,None,Mr. Steve Bandy,Phone: ,(479) 684-4900,None,None,None,sbandy@ozarksecc.com,Fax:  ,None,None,None,None,http://www.ozarksgo.net,None,None,"3641 Wedington Dr. Fayetteville, AR 72704",None,None,Telecommunications
Professional Cabling Solutions,None,None,Heath Bowerman,Phone: ,(479) 750-0699,None,None,None,heath@professionalcabling.com,Fax:  ,(479) 750-0689,None,None,None,http://www.professionalcabling.com,None,None,"2370 Ford Avenue Springdale, AR 72764",None,None,Telecommunications
Ritter Communications,None,None,Ms. Rebecca Selby,Phone: ,(888) 336-4249,rebecca.selby@rittercommunications.com,Fax:  ,None,None,None,None,http://www.ritterbusiness.com/springdale,None,None,"5078 Northgate Rd., Ste. 220 Rogers, AR 72758",None,None,None,None,None,Telecommunications
TeleComp,None,None,Ms. Angie Ungaro,Phone: ,(479) 696-7124,None,None,None,ap@telecomp.com,Fax:  ,None,None,None,None,http://www.telecomp.com,None,None,"5104 South Pinnacle Hills Pkwy., Ste. 200 Rogers, AR 72758",None,None,Telecommunications
Teslar Software,None,None,Mr. Joe Ehrhardt,Phone: ,(479) 927-0200,None,None,None,marketing@teslarsoftware.com,Fax:  ,None,None,None,None,http://www.teslarsoftware.com,None,None,"4700 South Thompson St., Ste. A102 Springdale, AR 72764",None,None,Telecommunications
"Cox Communications, Inc.",None,None,Ms. Kim Thatcher,Phone: ,(877) 404-2568,kim.thatcher@cox.com,Fax:  ,(479) 756-1081,None,None,None,http://www.cox.com,None,None,"4901 South 48th St. Springdale, AR 72762",None,None,None,None,None,Television - Cable & Stations
KFSM-TV Channel 5,None,None,Mr. Van Comer,Phone: ,(479) 684-5990,van.comer@kfsm.com,Fax:  ,(479) 521-6579,None,None,None,http://www.kfsm.com,None,None,"5101 South 48th St. Springdale, AR 72762-0000",None,None,None,None,None,Television - Cable & Stations
KHOG-TV Channel 29,None,None,Mr. Bruce Barkley,Phone: ,(479) 631-4029,None,None,None,bbarkley@hearst.com,Fax:  ,(479) 878-6076,None,None,None,http://www.4029tv.com,None,None,"2809 Ajax Ave., Ste. 200 Rogers, AR 72758-0000",None,None,Television - Cable & Stations
KNWA TV,None,None,Lisa Kelsey,Phone: ,(479) 571-5100,lkelsey@knwa.com,Fax:  ,(479) 571-8900,None,None,None,http://www.nwahomepage.com,None,None,"609 West Dickson, Ste. 300 Fayetteville, AR 72701-6021",None,None,None,None,None,Television - Cable & Stations
OzarksGO,None,None,Mr. Steve Bandy,Phone: ,(479) 684-4900,None,None,None,sbandy@ozarksecc.com,Fax:  ,None,None,None,None,http://www.ozarksgo.net,None,None,"3641 Wedington Dr. Fayetteville, AR 72704",None,None,Television - Cable & Stations
"Pinnacle Media, LLC",None,None,Mr. Greg Fess,Phone: ,(501) 539-0164,None,None,None,gfess@comcast.net,Fax:  ,None,None,None,None,http://www.latinotvar.com,None,None,"4058 North College, Ste. 245 Fayetteville, AR 72703",None,None,Television - Cable & Stations
Cassady Children's Center,None,None,Ms. Wendy Cassady,Phone: ,(479) 419-9911,None,None,None,wendy@cassadychildrenscenter.com,Fax:  ,(479) 419-5595,None,None,None,www.cassadychildrenscenter.com,None,None,"956 Mathias Dr. Springdale, AR 72762",None,None,"Therapy - Speech, Physical, Occupational"
Cherokee Casino & Hotel West Siloam Springs,None,None,Ms. Shannon Jennings,Phone: ,(800) 754-4111,None,None,None,shannon.jennings@cnent.com,Fax:  ,(918) 422-6229,None,None,None,http://www.cherokeecasino.com,None,None,"2416 Highway 412 Colcord, OK 74338",None,None,Tourist Attractions
Crystal Bridges Museum of American Art,None,None,Ms. Peggy Boyles,Phone: ,(479) 418-5700,None,None,None,info@crystalbridges.org,Fax:  ,(479) 418-5701,None,None,None,http://www.crystalbridges.org,None,None,"600 Museum Way Bentonville, AR 72712",None,None,Tourist Attractions
Farmland Adventures,None,None,Mr. Dwain Parsons,Phone: ,(479) 799-5033,None,None,None,fun@farmlandadventures.com,Fax:  ,None,None,None,None,http://www.farmlandadventures.com,None,None,"5355 Parsons Rd. Springdale, AR 72764",None,None,Tourist Attractions
J.B. and Johnelle Hunt Family - Ozark Highland Nature Center,None,None,Mrs. Marisol Alcaraz,Phone: ,(877) 486-9870,None,None,None,ozarkhighlands@agfc.ar.gov,Fax:  ,None,None,None,None,http://www.nwanaturecenter.com,None,None,"3400 North 40th St. Springdale, AR 72764",None,None,Tourist Attractions
Summit Aviation,None,None,Mr. Daniel Hughes,Phone: ,(479) 751-4462,danielh@iflysummit.com,Fax:  ,(479) 75-2646,None,None,None,www.summitaviationkasg.com,None,None,"802 Airport Ave. Springdale, AR 72764",None,None,None,None,None,Tourist Attractions
Ozark Regional Transit,None,None,Mr. Joel Gardner,Phone: ,(479) 756-5901,jgardner@ozark.org,Fax:  ,(479) 756-2901,None,None,None,http://www.ozark.org,None,None,"2423 East Robinson Ave. Springdale, AR 72764-0235",None,None,None,None,None,Transportation/Logistics
PAM Transport Inc.,None,None,Mr. Tyler Majors,Phone: ,(479) 361-9111,majot@pamt.com,Fax:  ,(479) 361-4802,None,None,None,http://www.pamtransport.com,None,None,"297 West Henri De Tonti Blvd. P.O. Box 188 Tontitown, AR 72770-0000",None,None,None,None,None,Transportation/Logistics
"Mid America Truck Driving School, Inc.",None,None,Mr. Doug Carter,Phone: ,(479) 756-1977,None,None,None,cdlsafety007ar@yahoo.com,Fax:  ,None,None,None,None,https://www.midamericatruckdrivingschool.com/,None,None,"1609 North Old Missouri Rd. Springdale, AR 72764",None,None,Trucking
 PAM Transport Inc.,None,None,Mr. Tyler Majors,Phone: ,(479) 361-9111,majot@pamt.com,Fax:  ,(479) 361-4802,None,None,None,http://www.pamtransport.com,None,None,"297 West Henri De Tonti Blvd. P.O. Box 188 Tontitown, AR 72770-0000",None,None,None,None,None,Trucking
The After School Program,None,None,Mr. Jason H. Coates,Phone: ,(479) 756-5077,None,None,None,info@afterschoolprog.com,Fax:  ,(479) 927-2763,None,None,None,http://www.afterschoolprog.com,None,None,"866 South 48th St. Springdale, AR 72762",None,None,Tutoring Service
SOAR Afterschool Program,None,None,Mr. Ben Rediske,Phone: ,(479) 282-8988,None,None,None,soar@soarafterschool.com,Fax:  ,None,None,None,None,http://www.soarafterschool.com,None,None,"922 East Emma Ave. Springdale, AR 72764",None,None,Tutoring Service
Tutor Doctor Fayetteville,None,None,Mr. Nick Callaway,Phone: ,(479) 935-1475,None,None,None,ncallaway@tutordoctor.org,Fax:  ,None,None,None,None,http://www.tutordoctor.com/fayetteville-ar/,None,None,"3595 East Township St. Fayetteville, AR 72703",None,None,Tutoring Service
 Black Hills Energy,None,None,Ms. Robin Mizell,Phone: ,(888) 890-5554,robin.mizell@blackhillscorp.com,Fax:  ,None,None,None,None,https://www.blackhillsenergy.com/,None,None,"655 East Milsap Road Fayetteville, AR 72703",None,None,None,None,None,Utilities
Ozarks Electric Cooperative Corp.,None,None,Mitchell Johnson,Phone: ,(479) 521-2900,mjohnson@ozarksecc.com,Fax:  ,(479) 444-0943,None,None,None,http://www.ozarksecc.com,None,None,"3641 Wedington Dr. Fayetteville, AR 72704",None,None,None,None,None,Utilities
Southwestern Electric Power/AEP,None,None,Mr. Bradley Hardin,Phone: ,(479) 973-2347,behardin@aep.com,Fax:  ,(479) 973-2326,None,None,None,http://www.swepco.com,None,None,"101 West Township St. Fayetteville, AR 72703",None,None,None,None,None,Utilities
Springdale Water Utilities,None,None,Mr. Heath Ward,Phone: ,(479) 751-5751,None,None,None,hward@springdalewater.com,Fax:  ,None,None,None,None,www.springdalewater.com,None,None,"526 Oak Ave. Springdale, AR 72765",None,None,Utilities
Animal Emergency and Specialty Center of NWA,None,None,Ms. Stacey Storey,Phone: ,(479) 927-0007,None,None,None,aesc.management@gmail.com,Fax:  ,None,None,None,None,http://www.aescnwa.com,None,None,"881 Metroplex Drive Springdale, AR 72762",None,None,Veterinarians
"Davis Animal Hospital, PA",None,None,Mark Davis,Phone: ,(479) 751-2525,None,None,None,davisanimalhospital1430@gmail.com,Fax:  ,(479) 751-8056,None,None,None,https://davisanimalhosp.com/,None,None,"1430 Carley Rd. Springdale, AR 72762-0000",None,None,Veterinarians
"St. Francis Animal Hospital, PLLC",None,None,Kate Williams,Phone: ,(479) 751-8060,None,None,None,stfrancisanimalhosp@aol.com,Fax:  ,(479) 872-8730,None,None,None,http://www.stfrancisanimalhosp.net,None,None,"121 Virginia St. Springdale, AR 72764",None,None,Veterinarians
Cards Recycling,None,None,Mr. Jason Fitzgerald,Phone: ,(877) 592-2737,None,None,None,jason@cardsrecycling.com,Fax:  ,(501) 904-3625,None,None,None,http://www.cardsrecycling.com,None,None,"4208 Johnson Road Springdale, AR 72762",None,None,Waste Disposal
Denali Water Solutions,None,None,Mr. Chris Olson,Phone: ,(479) 970-4394,None,None,None,chris.olson@denaliwater.com,Fax:  ,None,None,None,None,http://www.denaliwater.com,None,None,"3308 Bernice Ave. Russellville, AR 72802",None,None,Waste Disposal
 LRS,None,None,Jayme Land,Phone: ,(479) 878-1384,jland@lrsrecycles.com,Fax:  ,None,None,None,None,http://www.lrsrecycles.com,None,None,"848 East Highway 264 Springdale, AR 72764",None,None,None,None,None,Waste Disposal
 Ozark Dumpster Service,None,None,Mr. Justin Hollenbeck,Phone: ,(479) 409-2074,None,None,None,justin@ozarkdumpsterservice.com,Fax:  ,None,None,None,None,http://www.ozarkdumpsterservice.com,None,None,"1000 Schmeiding, Unit B Springdale, AR 72764",None,None,Waste Disposal
Waste Management of NWA,None,None,Ms. Stephanie Peterson,Phone: ,(479) 361-4274,speter15@wm.com,Fax:  ,None,None,None,None,http://www.wm.com,None,None,"1041 Arbor Acres Ave. Springdale, AR 72764",None,None,None,None,None,Waste Disposal
Graybar Electric,None,None,Ron Scoles,Phone: ,(479) 872-3400,ron.scoles@graybar.com,Fax:  ,(479) 872-6680,None,None,None,www.graybar.com,None,None,"516-A East Robinson Ave. Springdale, AR 72764-0000",None,None,None,None,None,Wholesalers/Distributors
"McBride Distributing Company, Inc.",None,None,Ms. Angela Ryan,Phone: ,(479) 521-2500,angela@mcbridedist.com,Fax:  ,(479) 521-5350,None,None,None,https://www.eurekaspringschamber.com/list/member/mcbride-distributing-co-348,None,None,"2849 South School Fayetteville, AR 72701-0000",None,None,None,None,None,Wholesalers/Distributors
Nino's Trading Company,None,None,Nino Ardemagni,Phone: ,(479) 361-9998,None,None,None,nino@ninostrading.com,Fax:  ,None,None,None,None,http://www.ninostrading.com,None,None,"P.O. Box 6820 Springdale, AR 72766",None,None,Wholesalers/Distributors
